;campaign shortname;ADMG deployment name;start_date;end_date;number flights;deployment longname;Deployment Alias(es);Geographical Region Type(s);Platforms Active;notes;Study Region Bounds/Map;Field/Ground Site Map;Flight Track(s)
;AirMOSS;dep_2015i;9/22/2015;9/29/2015;6;Canada, OR Fall 2015;;;G-III, ALAR;;;;
;CAMEX;dep_1993;9/7/1993;10/8/1993;38;CAMEX-1;;;ER-2;;;;
;CAMEX;dep_1995;8/23/1995;9/2/1995;36;CAMEX-2;;;ER-2;;;;
;CAMEX;dep_1998;8/8/1998;9/27/1998;75;CAMEX-3;;;ER-2, DC-8, WP-3D;;;;
;CAMEX;dep_2001;8/16/2001;9/24/2001;87;CAMEX-4;;;ER-2, DC-8, WP-3D, Aerosonde;;;;
;ACEPOL;dep_2017;10/19/2017;11/9/2017;9;N/A;;;ER-2;;;;
;GOES-R PLT;dep_2017;3/21/2017;5/17/2017;16;N/A;;;ER-2;;;;
;GRIP;dep_2010;8/15/2010;9/25/2010;16;N/A;;;DC-8, GH, WB-57;;;;
;ARISE;dep_2014;8/24/2014;9/24/2014;15;N/A;;;C-130;;;;
;AfriSAR;dep_2015;6/30/2015;7/10/2015;7;N/A;;;Falcon;;;;
;AfriSAR;dep_2016;2/3/2016;2/15/2016;25;N/A;;;B-200, G-III, DO-228;;;;
;ACT-America;dep_2016;07/18/2016;8/28/2016;25;N/A;Summer_2016;;C-130, B-2000;;;;
;ACT-America;dep_2017a;2/1/2017;3/10/2017;25;N/A;Winter_2017;;C-130, B-2000;;;;
;ACT-America;dep_2017b;10/3/2017;11/13/2017;23;N/A;Fall_2017;;C-130, B-2000;;;;
;ACT-America;dep_2018;4/12/2018;5/20/2018;26;N/A;Spring_2018;;C-130, B-2000;;;;
;ACT-America;dep_2019;6/20/2019;7/27/2019;16;N/A;Summer_2019;;C-130, B-2000;;;;
;NAMMA;dep_2006;8/15/2006;9/15/2006;13;N/A;;;DC-8;;;;
;ORACLES;dep_2016;8/19/2016;10/27/2016;14;N/A;;;ER-2, P-3;the ER-2 aircraft only participated during 2016;;;
;ORACLES;dep_2017;8/1/2017;9/4/2017;12;N/A;;;P-3;;;;
;ORACLES;dep_2018;9/21/2018;10/27/2018;13;N/A;;;P-3;;;;
;ARCTAS;dep_2008a;4/1/2008;4/21/2008;31;ARCTAS-A;;;DC-8, P-3, B-200;;;;
;ARCTAS;dep_2008b;6/18/2008;6/24/2008;6;ARCTAS-CARB;;;DC-8, P-3;;;;
;ARCTAS;dep_2008c;6/26/2008;7/14/2008;35;ARCTAS-B;;;DC-8, P-3, B-200;;;;
;ARESE;dep_1995;9/22/1995;11/1/1995;29;ARESE I;;;ER-2, Twin Otter, Egrett;;;;
;ARESE;dep_2000;2/21/2000;4/15/2000;15;ARESE II;;;Twin Otter;There isn't a ton out there on this deployment because it was much smaller due to less funding;;;
;ATTREX;dep_2011;10/20/2011;11/10/2011;4;N/A;;;GH;;;;
;ATTREX;dep_2013;1/19/2013;3/2/2013;6;N/A;;;GH;;;;
;ATTREX;dep_2014;12/20/13;3/14/14;7;N/A;;;GH;;;;
;ATTREX;dep_2015;2/26/2015;3/14/15;3;N/A;;;GH;;;;
;C3VP;dep_2006;10/31/2006;2/27/2007;21;N/A;;;CV-580;;;;
;BROMEX;dep_2012;3/6/2012;5/15/2012;11;N/A;;;ALAR;;;;
;CalWater;dep_2015;1/12/2015;3/8/2015;56;CalWater 2015;;;G-IV, P-3, G-1, ER-2;This was the last deployment of CalWater, but the only one NASA participated in;;;
;SnowEx;dep_2017;09/26/2016;02/26/2017;NID;N/A;;;B-200, P-3, G-III, Twin Otter;;;;
;CORAL;dep_2016a;6/6/2016;6/23/2016;17;N/A;;;G-IV ;Hawaii ORT;;;
;CORAL;dep_2016b;9/1/2016;10/16/2016;160;N/A;;;G-IV ;Australia;;;
;CORAL;dep_2017a;2/1/2017;3/15/2017;72;N/A;;;G-IV ;Hawaii  ;;;
;CORAL;dep_2017b;4/7/2017;4/18/2017;37;N/A;;;G-IV ;Guam;;;
;CORAL;dep_2017c;5/1/2017;5/16/2017;41;N/A;;;G-IV ;Palau;;;
;CORAL;dep_2017d;5/27/2017;5/28/2017;25;N/A;;;G-IV ;Florida;;;
;ABoVE;dep_2017;4/26/2017;9/22/2017;77;N/A;;Alaska, western Canada ;G-III, B-200, Mooney, Twin Otter;;;;
;ABoVE;dep_2018;7/21/2018;9/2/2018;23;N/A;;Alaska, western Canada ;G-III, B-200;;;;
;ABoVE;dep_2019;6/30/2019;9/18/2019;56;N/A;;Alaska, western Canada ;G-III, B-200, G-V;;;;
;CLAMS;dep_2001;07/10/2001;8/2/2001;35;N/A;;Chesapeake Bay, Atlantic Ocean;CV-580, ER-2, Cessna 210, OV-10, Proteus, Lear 25C;;;;
;CLPX;dep_2002;2/17/2002;3/30/2002;;N/A;;mountains;DC-8, AC690A, Twin Otter;;;;
;CLPX;dep_2003;2/17/2003;4/1/2003;;N/A;;mountains;DC-8, P-3, AC690A;;;;
;CPEX ;dep_2017;5/25/2017;6/25/2017;16;N/A;;maritime;DC-8;Gulf of Mexico, Caribbean;;;
;NAAMES;dep_2015;11/5/2015;12/2/2015;5;NAAMES1;;maritime;C-130;;;;
;NAAMES;dep_2016;5/11/2016;6/5/2016;9;NAAMES2;;maritime;C-130;;;;
;NAAMES;dep_2017;8/30/2017;9/24/2017;8;NAAMES3;;maritime;C-130;;;;
;CLASIC07;dep_2007;6/11/2007;7/6/2007;91;N/A;;continental;ER-2, Twin Otter, HOP, Cessna 206, J-31, P-3;;;;
;LPVEx;dep_2010;9/11/2010;10/20/2010;16;N/A;;maritime;UWKA;Gulf of Finland;;;
;HyMEx;dep_2012;9/5/2012;11/6/2012;63;SOP1;;maritime;Falcon, ATR-42, DO128;;;;
;MC3E;dep_2011;4/22/2011;6/6/2011;29;N/A;;continental;ER-2, Citation;Central Oklahoma;;;
;TCSP;dep_2005;7/1/2005;7/27/2005;30;N/A;;maritime;ER-2,WP-3D;;;;
